Population at the beginning of the period across the territory of the Republic of Belarus
persons
        Dokshitsy district;75 to 79 years of age;772
        Dokshitsy district;80 and over;916
        Dubrovno district;0 to 4 years of age;453
        Dubrovno district;By all age;12986
        Dubrovno district;5 to 9 years of age;605
        Dubrovno district;10 to 14 years of age;672
        Dubrovno district;15 to 19 years of age;689
        Dubrovno district;20 to 24 years of age;674
        Dubrovno district;25 to 29 years of age;552
        Dubrovno district;30 to 34 years of age;684
        Dubrovno district;35 to 39 years of age;795
        Dubrovno district;40 to 44 years of age;873
        Dubrovno district;45 to 49 years of age;925
        Dubrovno district;50 to 54 years of age;993
        Dubrovno district;55 to 59 years of age;1001
        Dubrovno district;60 to 64 years of age;1095
        Dubrovno district;65 to 69 years of age;1171
        Dubrovno district;70 to 74 years of age;837
        Dubrovno district;75 to 79 years of age;429
        Dubrovno district;80 and over;538
        Lepel district;0 to 4 years of age;1079
        Lepel district;By all age;29856
        Lepel district;5 to 9 years of age;1567
        Lepel district;10 to 14 years of age;1827
        Lepel district;15 to 19 years of age;1367
        Lepel district;20 to 24 years of age;1538
        Lepel district;25 to 29 years of age;1684
        Lepel district;30 to 34 years of age;1677
        Lepel district;35 to 39 years of age;2097
        Lepel district;40 to 44 years of age;2013
        Lepel district;45 to 49 years of age;2070
        Lepel district;50 to 54 years of age;2163
        Lepel district;55 to 59 years of age;2211
        Lepel district;60 to 64 years of age;2473
        Lepel district;65 to 69 years of age;2362
        Lepel district;70 to 74 years of age;1582
        Lepel district;75 to 79 years of age;963
        Lepel district;80 and over;1183
        Liozno district;0 to 4 years of age;537
        Liozno district;By all age;14494
        Liozno district;5 to 9 years of age;630
        Liozno district;10 to 14 years of age;745
        Liozno district;15 to 19 years of age;355
        Liozno district;20 to 24 years of age;689
        Liozno district;25 to 29 years of age;589
        Liozno district;30 to 34 years of age;782
        Liozno district;35 to 39 years of age;993
        Liozno district;40 to 44 years of age;991
        Liozno district;45 to 49 years of age;1087
        Liozno district;50 to 54 years of age;1037
        Liozno district;55 to 59 years of age;1129
        Liozno district;60 to 64 years of age;1374
        Liozno district;65 to 69 years of age;1303
        Liozno district;70 to 74 years of age;924
        Liozno district;75 to 79 years of age;545
        Liozno district;80 and over;784
        Miory district;0 to 4 years of age;688
        Miory district;By all age;17075
        Miory district;5 to 9 years of age;825
        Miory district;10 to 14 years of age;940
        Miory district;15 to 19 years of age;457
        Miory district;20 to 24 years of age;877
        Miory district;25 to 29 years of age;615
        Miory district;30 to 34 years of age;818
        Miory district;35 to 39 years of age;1046
        Miory district;40 to 44 years of age;1043
        Miory district;45 to 49 years of age;1208
        Miory district;50 to 54 years of age;1531
        Miory district;55 to 59 years of age;1528
        Miory district;60 to 64 years of age;1595
        Miory district;65 to 69 years of age;1353
        Miory district;70 to 74 years of age;951
        Miory district;75 to 79 years of age;676
        Miory district;80 and over;924
        Orsha district;0 to 4 years of age;5040
        Orsha district;By all age;139546
        Orsha district;5 to 9 years of age;7286
        Orsha district;10 to 14 years of age;7691
        Orsha district;15 to 19 years of age;7710
        Orsha district;20 to 24 years of age;5870
        Orsha district;25 to 29 years of age;6617
        Orsha district;30 to 34 years of age;8286
        Orsha district;35 to 39 years of age;11093
        Orsha district;40 to 44 years of age;10043
        Orsha district;45 to 49 years of age;10422
        Orsha district;50 to 54 years of age;10201
        Orsha district;55 to 59 years of age;9969
        Orsha district;60 to 64 years of age;11060
        Orsha district;65 to 69 years of age;10857
        Orsha district;70 to 74 years of age;8127
        Orsha district;75 to 79 years of age;4561
        Orsha district;80 and over;4713
        Polotsk district;0 to 4 years of age;3768
        Polotsk district;By all age;98999
        Polotsk district;5 to 9 years of age;5244
        Polotsk district;10 to 14 years of age;5621
        Polotsk district;15 to 19 years of age;6324
        Polotsk district;20 to 24 years of age;4262
        Polotsk district;25 to 29 years of age;5127
        Polotsk district;30 to 34 years of age;6684
        Polotsk district;35 to 39 years of age;8497
        Polotsk district;40 to 44 years of age;7926
        Polotsk district;45 to 49 years of age;6698
        Polotsk district;50 to 54 years of age;6825
        Polotsk district;55 to 59 years of age;6944
        Polotsk district;60 to 64 years of age;7752
        Polotsk district;65 to 69 years of age;6690
        Polotsk district;70 to 74 years of age;5016
        Polotsk district;75 to 79 years of age;2893
        Polotsk district;80 and over;2728
        Postavy district;0 to 4 years of age;1127
        Postavy district;By all age;31043
        Postavy district;5 to 9 years of age;1749
        Postavy district;10 to 14 years of age;1940
        Postavy district;15 to 19 years of age;1316
        Postavy district;20 to 24 years of age;1265
        Postavy district;25 to 29 years of age;1250
        Postavy district;30 to 34 years of age;1582
        Postavy district;35 to 39 years of age;2253
        Postavy district;40 to 44 years of age;2187
        Postavy district;45 to 49 years of age;2078
        Postavy district;50 to 54 years of age;2364
        Postavy district;55 to 59 years of age;2458
        Postavy district;60 to 64 years of age;2795
