id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,geometry,settlement_key
node/243037750,Звянячы,Звенячи,Звянячы,,Zvianiachy,village,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (30.0355892 54.4748348),Звенячи
node/3072981532,РТС,РТС,РТС,,RTS,hamlet,Belarus,BY007,Vitebsk,BY007011,Orsha,POINT (30.0267839 54.4677169),РТС
node/242979088,Коханава,Коханово,Коханава,,Kokhanava,town,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (30.0010039 54.4605588),Коханово
node/2565885943,Зялёны Бор,Зелёный Бор,Зялёны Бор,,Zialiony Bor,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9959138 54.4748141),Зеленый Бор
node/243033114,Курапава,Курапово,Курапава,,Kurapava,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.972984 54.4633855),Курапово
node/3072976009,Вялікія Ліпнікі,Большие Липники,Вялікія Ліпнікі,,Vialikiia Lipniki,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.99811 54.44228),Большие Липники
node/243033123,Новае Рцішчава,Новое Ртищево,Новае Рцішчава,,Novae Rtsishchava,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9589186 54.4340714),Новое Ртищево
node/243037747,Малыя Ліпнікі,Малые Липники,Малыя Ліпнікі,,Malyia Lipniki,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9726317 54.4520219),Малые Липники
node/243033505,Замосце,Замостье,Замосце,,Zamostse,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9173381 54.4349496),Замостье
node/2997235346,Байкал,Байкал,Байкал,,Baikal,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9165349 54.4632892),Байкал
node/243033490,Пярэвалачня,Переволочня,Пярэвалачня,,Piarevalachnia,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9288957 54.4763088),Переволочня
node/243033558,Забайкал,Забайкал,Забайкал,,Zabaikal,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9032139 54.4626738),Забайкал
node/243033121,Забалацце,Заболотье,Забалацце,,Zabalatstse,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8948605 54.4800525),Заболотье
node/243033106,Забалацце,Заболотье,Забалацце,,Zabalatstse,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8827577 54.4804544),Заболотье
node/243033538,Свідэршчына,Свидерщина,Свідэршчына,,Svidershchyna,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.868002 54.469177),Свидерщина
node/243033561,Букарава 2,Букарево 2,Букарава 2,,Bukarava 2,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.864565 54.463367),Букарево 2
node/243033531,Букарава 1,Букарево 1,Букарава 1,,Bukarava 1,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.858765 54.451233),Букарево 1
node/3072984341,Відэршчына,Видерщина,Відэршчына,,Vidershchyna,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.853013 54.4443959),Видерщина
node/243033508,Падбярэззе,Подберезье,Падбярэззе,,Padbiarezze,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.855062 54.438202),Подберезье
node/243033564,Хаценічы,Хотеничи,Хаценічы,,Khatsenichy,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9061971 54.4250868),Хотеничи
node/243033544,Дуброўскія,Дубровские,Дуброўскія,,Dubrouskiia,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.9033302 54.4115415),Дубровские
node/243033487,Поўсціхава,Повстихово,Поўсціхава,,Poustsikhava,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.888447 54.3908687),Повстихово
node/243033526,Зарэчнае Падбярэззе,Заречное Подберезье,Зарэчнае Падбярэззе,,Zarechnae Padbiarezze,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8543916 54.4267808),Заречное Подберезье
node/243033496,Крывое,Кривое,Крывое,,Kryvoe,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8121303 54.3992669),Кривое
node/3072990981,Галынка,Голынка,Галынка,Halynka,Halynka,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.7500777 54.4143602),Голынка
node/243039209,Азерцы,Озерцы,Азерцы,Azertsy,Azertsy,village,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.7687218 54.4207757),Озерцы
node/243039206,Лунная,Лунная,Лунная,,Lunnaia,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.7769403 54.4098764),Лунная
node/243039221,Вугалеўшчына,Уголевщина,Вугалеўшчына,,Vugaleushchyna,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.7537251 54.4369127),Уголевщина
node/243033541,Міхайлаўшчына,Михайловщина,Міхайлаўшчына,,Mikhailaushchyna,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8156124 54.4395326),Михайловщина
node/243033529,Заднева,Заднево,Заднева,,Zadneva,village,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.809834 54.449642),Заднево
node/243033550,Піямонт,Пиямонт,Піямонт,,Piiamont,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8154949 54.4595893),Пиямонт
node/243033511,Рыжычы,Рыжичи,Рыжычы,,Ryzhychy,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.827993 54.473591),Рыжичи
node/243039165,Скавышкі,Скавышки,Скавышкі,,Skavyshki,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.7737645 54.4835468),Скавышки
node/243039312,Узгоі,Узгои,Узгоі,,Uzgoi,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8051678 54.4886443),Узгои
node/243039315,Бушмін,Бушмин,Бушмін,,Bushmin,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.7930264 54.5044709),Бушмин
node/243033188,Шэпетава,Шепетово,Шэпетава,,Shepetava,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8064943 54.5112703),Шепетово
node/243033203,Раманоўка,Романовка,Раманоўка,,Ramanouka,hamlet,Belarus,BY007,Vitebsk,BY007018,Tolochin,POINT (29.8073617 54.5256286),Романовка
