X,Y,fid,id,name,name_ru,name_be,name_en,name_latin,place,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,settlement_key
5693990.55917053,3650671.40600014,20943,node/243045599,Каменка,Каменка,Каменка,,Kamenka,hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Каменка
5693867.42295838,3652826.40940642,20944,node/243045589,Асінаўка,Осиновка,Асінаўка,,Asinauka,hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Осиновка
5694665.70721542,3653007.89863661,20945,node/243045590,Раздзел,Раздел,Раздзел,,Razdzel,hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Раздел
5697246.56358259,3646875.66748041,20946,node/243045708,Пацкава,Пацково,Пацкава,,Patskava,hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Пацково
5695549.21677354,3648652.47563599,20947,node/243045593,Слаўнае,Славное,Слаўнае,,Slaunae,hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Славное
5695004.82398012,3647594.63274955,20948,node/243045594,Старына,Старина,Старына,,Staryna,hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Старина
5692845.77803191,3638508.78723817,20953,node/2919744945,Віскліна,Висклино,Віскліна,,Visklina,hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Висклино
5691889.65519764,3645470.79549733,20958,node/243045600,Рэмества,Ремество,Рэмества,Remyestva,Remyestva,hamlet,Belarus,BY006,Mogilev,BY006018,Mstislav,Ремество
5686226.63744012,3640451.43715346,20960,node/243044731,Таўкачы,Толкачи,Таўкачы,,Taukachy,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Толкачи
5684996.7890135,3641052.95894419,20961,node/243044659,Шаблавы,Шаблавы,Шаблавы,,Shablavy,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Шаблавы
5685423.06172872,3642000.11230149,20962,node/243044665,Вярба,Верба,Вярба,,Viarba,hamlet,Belarus,BY006,Mogilev,BY006006,Dribin,Верба
